Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors,Origen
WC-F,0.1,0:31:32,0.8145,0.8295,0.8145,0.8039,100,0.0782,0.3655,0.3147,0.3198,finales_2
WC-F,0.25,1:03:27,0.8226,0.8258,0.8226,0.8158,100,0.198,0.3627,0.2766,0.3607,finales_2
WC-F,0.5,2:10:26,0.828,0.848,0.828,0.8192,100,0.4151,0.3317,0.327,0.3413,finales_2
WC-F,0.75,2:24:02,0.8172,0.8356,0.8172,0.8107,100,0.75,0.3333,0.3328,0.3339,finales_2
WC-F,0.1,0:32:35,0.8038,0.8161,0.8038,0.7876,100,0.1567,0.3468,0.3266,0.3266,finales_2
WC-F,0.25,0:59:13,0.8118,0.8221,0.8118,0.8058,100,0.1885,0.3474,0.3242,0.3284,finales_2
WC-F,0.5,1:50:02,0.8495,0.8559,0.8495,0.8449,100,0.5599,0.3409,0.3253,0.3338,finales_2
WC-F,0.75,2:31:34,0.8199,0.841,0.8199,0.8152,100,0.75,0.3317,0.337,0.3312,finales_2
PR,0.1,0:24:18,0.8011,0.8136,0.8011,0.7883,100,0.1,0.3135,0.3254,0.3611,finales_2
PR,0.25,0:50:22,0.8253,0.8315,0.8253,0.8206,100,0.25,0.3492,0.3254,0.3254,finales_2
PR,0.5,1:34:50,0.8118,0.8375,0.8118,0.8053,100,0.5,0.3278,0.3206,0.3516,finales_2
PR,0.75,2:18:05,0.8226,0.8378,0.8226,0.8138,100,0.75,0.3397,0.3349,0.3254,finales_2
PR,0.1,0:29:56,0.7661,0.8101,0.7661,0.7501,100,0.1,0.3254,0.3532,0.3214,finales_2
PR,0.25,1:02:38,0.8065,0.8206,0.8065,0.796,100,0.25,0.3397,0.2921,0.3683,finales_2
PR,0.5,1:56:53,0.8118,0.8286,0.8118,0.8076,100,0.5,0.3262,0.3381,0.3357,finales_2
PR,0.75,2:50:20,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307,finales_2
